anecdata_columns,access_db_columns,measurementType,Darwin unique columns,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementRemarks,darwin_file,parameter
,Eucampia,eucampia,,,,,,organismName value,occurrence,organismName
,Gonyaulax,gonyaulax,,,,,,organismName value,occurrence,organismName
,Guinardia,guinardia,,,,,,organismName value,occurrence,organismName
,Gyrosigma,gyrosigma,,,,,,organismName value,occurrence,organismName
,Lycomorpha,licmophora,,,,,,organismName value,occurrence,organismName
,Leptocylindrus,leptocylindrus,,,,,,organismName value,occurrence,organismName
__of_Karenia,,karenia,,,,,,organismName value,occurrence,organismName
__of_Margalefidinium_p_,,margalefidinium_polykrikoides,,,,,,organismName value,occurrence,organismName
,Melosira,melosira,,,,,,organismName value,occurrence,organismName
,Navicula,navicula,,,,,,organismName value,occurrence,organismName
,Nitzchia,nitzschia,,,,,,organismName value,occurrence,organismName
__of_Prorocentrum_lima,Phaeocystis,phaeocystis,,,,,,organismName value,occurrence,organismName
,Pleurosigma,pleurosigma,,,,,,organismName value,occurrence,organismName
,Prorocentrum,prorocentrum,,,,,,organismName value,occurrence,organismName
__of_SMALL_Pseudo_nitzschia,Prorocentrum lima,prorocentrum_lima,,,,,,organismName value,occurrence,organismName
__of_LARGE_Pseudo_nitzschia,Protoperidinium,protoperidinium,,,,,,organismName value,occurrence,organismName
,Pseudo-nitzchia,pseudo_nitzchia_spp,,,,,,organismName value,occurrence,organismName
,P.nitzschia small,pseudo_nitzschia_small,,,,,,organismName value,occurrence,organismName
,P.nitzschia large,pseudo_nitzschia_large,,,,,,organismName value,occurrence,organismName
,Rhizosolenia,rhizosolenia,,,,,,organismName value,occurrence,organismName
,Thalassionema,thalassionema,,,,,,organismName value,occurrence,organismName
,Thalassiosira,thalassiosira,,,,,,organismName value,occurrence,organismName
,Gymnodinium,gymnodinium,,,,,,organismName value,occurrence,organismName
,Other,other_phytoplankton,,,,,,organismName value,occurrence,organismName
,Total Phytoplankton,total_phytoplankton,,,,,,Sum of the individual phytoplankton counts within a row,,
PS_TNTC_reached_at_cell__,TNTC at cell,too_numerous_to_count_grid_num,,,,,,NULL,,
__Grid_Cells_Counted,,grids_counted,,,,,,NULL,,
Amount_of_Water_Filtered_(L),,water_filtered_L,,,,,,NULL,,
Phytoplankton_(Dominant_Species_1),Dominant Species 1,NULL,,,,,,NULL,,
Phytoplankton_(Dominant_Species_2),Dominant Species 2,NULL,,,,,,NULL,,
Phytoplankton_(Dominant_Species_3),Dominant Species 3,NULL,,,,,,NULL,,
Frequency_(Dominant_Species_1),,NULL,,,,,,NULL,,
Frequency_(Dominant_Species_2),,NULL,,,,,,NULL,,
Image 1,,NULL,,,,,,NULL,,
Image 2,,NULL,,,,,,NULL,,
Image 3,,NULL,,,,,,NULL,,
Image 4,,NULL,,,,,,NULL,,
Image 5,,NULL,,,,,,NULL,,
Zooplankton_Frequency,,NULL,,,,,,NULL,,
Microplastics_Sampling_Type,,NULL,,,,,,NULL,,
